script_id,strategy,repetition,turn,question,target_fact_id,agent_response,ground_truth
travel_01,hierarchical,1,15,On what date did the traveler originally plan to attend a conference in Rome?,F7,I don't know,"[""September 18"", ""The conference in Rome was on September 18"", ""The traveler originally planned to attend a conference in Rome on September 18.""]"
travel_01,hierarchical,1,20,Through which city is the traveler considering rerouting if seats open up?,F8,Amsterdam,"[""Amsterdam"", ""Rerouting through Amsterdam"", ""The traveler is considering rerouting through Amsterdam if seats open up.""]"
travel_01,hierarchical,1,25,Which airline operated the Paris-Rome leg?,F2,Air France operated the Paris-Rome flight leg.,"[""Air France"", ""The Paris-Rome leg was operated by Air France"", ""The itinerary was New York to Paris to Rome with the Paris-Rome leg operated by Air France.""]"
travel_01,hierarchical,2,5,What is the reservation code ending in Q7LM?,F1,I don't know,"[""Reservation code ending in Q7LM"", ""Booking reference Q7LM"", ""The traveler booked all flights under one reservation code ending in Q7LM.""]"
travel_01,hierarchical,2,10,Through which company did the traveler purchase travel insurance?,F6,I don't know,"[""Allianz Global Assistance"", ""The policy was through Allianz Global Assistance"", ""The traveler purchased travel insurance through Allianz Global Assistance.""]"
travel_01,hierarchical,2,15,On what date did the traveler originally plan to attend a conference in Rome?,F7,I don't know,"[""September 18"", ""The conference in Rome was on September 18"", ""The traveler originally planned to attend a conference in Rome on September 18.""]"
travel_01,hierarchical,2,20,Through which city is the traveler considering rerouting if seats open up?,F8,Amsterdam,"[""Amsterdam"", ""Rerouting through Amsterdam"", ""The traveler is considering rerouting through Amsterdam if seats open up.""]"
travel_01,hierarchical,2,25,Which airline operated the Paris-Rome leg?,F2,Air France operated the Paris-Rome leg of the disrupted flight.,"[""Air France"", ""The Paris-Rome leg was operated by Air France"", ""The itinerary was New York to Paris to Rome with the Paris-Rome leg operated by Air France.""]"
travel_01,hierarchical,3,5,What is the reservation code ending in Q7LM?,F1,I don't know,"[""Reservation code ending in Q7LM"", ""Booking reference Q7LM"", ""The traveler booked all flights under one reservation code ending in Q7LM.""]"
travel_01,hierarchical,3,10,Through which company did the traveler purchase travel insurance?,F6,I don't know,"[""Allianz Global Assistance"", ""The policy was through Allianz Global Assistance"", ""The traveler purchased travel insurance through Allianz Global Assistance.""]"
travel_01,hierarchical,3,15,On what date did the traveler originally plan to attend a conference in Rome?,F7,The original conference date in Rome is not mentioned in the conversation history.,"[""September 18"", ""The conference in Rome was on September 18"", ""The traveler originally planned to attend a conference in Rome on September 18.""]"
travel_01,hierarchical,3,20,Through which city is the traveler considering rerouting if seats open up?,F8,Amsterdam,"[""Amsterdam"", ""Rerouting through Amsterdam"", ""The traveler is considering rerouting through Amsterdam if seats open up.""]"
travel_01,hierarchical,3,25,Which airline operated the Paris-Rome leg?,F2,Air France operated the Paris-Rome leg.,"[""Air France"", ""The Paris-Rome leg was operated by Air France"", ""The itinerary was New York to Paris to Rome with the Paris-Rome leg operated by Air France.""]"
travel_01,hierarchical,4,5,What is the reservation code ending in Q7LM?,F1,I don't know,"[""Reservation code ending in Q7LM"", ""Booking reference Q7LM"", ""The traveler booked all flights under one reservation code ending in Q7LM.""]"
travel_01,hierarchical,4,10,Through which company did the traveler purchase travel insurance?,F6,I don't know,"[""Allianz Global Assistance"", ""The policy was through Allianz Global Assistance"", ""The traveler purchased travel insurance through Allianz Global Assistance.""]"
travel_01,hierarchical,4,15,On what date did the traveler originally plan to attend a conference in Rome?,F7,I don't know,"[""September 18"", ""The conference in Rome was on September 18"", ""The traveler originally planned to attend a conference in Rome on September 18.""]"
travel_01,hierarchical,4,20,Through which city is the traveler considering rerouting if seats open up?,F8,Amsterdam,"[""Amsterdam"", ""Rerouting through Amsterdam"", ""The traveler is considering rerouting through Amsterdam if seats open up.""]"
travel_01,hierarchical,4,25,Which airline operated the Paris-Rome leg?,F2,Air France operated the Paris-Rome leg.,"[""Air France"", ""The Paris-Rome leg was operated by Air France"", ""The itinerary was New York to Paris to Rome with the Paris-Rome leg operated by Air France.""]"
travel_01,rag,0,5,What is the reservation code ending in Q7LM?,F1,I don't know,"[""Reservation code ending in Q7LM"", ""Booking reference Q7LM"", ""The traveler booked all flights under one reservation code ending in Q7LM.""]"
travel_01,rag,0,10,Through which company did the traveler purchase travel insurance?,F6,I don't know,"[""Allianz Global Assistance"", ""The policy was through Allianz Global Assistance"", ""The traveler purchased travel insurance through Allianz Global Assistance.""]"
travel_01,rag,0,15,On what date did the traveler originally plan to attend a conference in Rome?,F7,I don't know,"[""September 18"", ""The conference in Rome was on September 18"", ""The traveler originally planned to attend a conference in Rome on September 18.""]"
travel_01,rag,0,20,Through which city is the traveler considering rerouting if seats open up?,F8,Amsterdam,"[""Amsterdam"", ""Rerouting through Amsterdam"", ""The traveler is considering rerouting through Amsterdam if seats open up.""]"
travel_01,rag,0,25,Which airline operated the Paris-Rome leg?,F2,Air France operated the Paris-Rome leg.,"[""Air France"", ""The Paris-Rome leg was operated by Air France"", ""The itinerary was New York to Paris to Rome with the Paris-Rome leg operated by Air France.""]"
travel_01,rag,1,5,What is the reservation code ending in Q7LM?,F1,I don't know,"[""Reservation code ending in Q7LM"", ""Booking reference Q7LM"", ""The traveler booked all flights under one reservation code ending in Q7LM.""]"
travel_01,rag,1,10,Through which company did the traveler purchase travel insurance?,F6,I don't know,"[""Allianz Global Assistance"", ""The policy was through Allianz Global Assistance"", ""The traveler purchased travel insurance through Allianz Global Assistance.""]"
travel_01,rag,1,15,On what date did the traveler originally plan to attend a conference in Rome?,F7,I don't know,"[""September 18"", ""The conference in Rome was on September 18"", ""The traveler originally planned to attend a conference in Rome on September 18.""]"
travel_01,rag,1,20,Through which city is the traveler considering rerouting if seats open up?,F8,Amsterdam,"[""Amsterdam"", ""Rerouting through Amsterdam"", ""The traveler is considering rerouting through Amsterdam if seats open up.""]"
travel_01,rag,1,25,Which airline operated the Paris-Rome leg?,F2,Air France operated the Paris-Rome leg.,"[""Air France"", ""The Paris-Rome leg was operated by Air France"", ""The itinerary was New York to Paris to Rome with the Paris-Rome leg operated by Air France.""]"
travel_01,rag,2,5,What is the reservation code ending in Q7LM?,F1,I don't know,"[""Reservation code ending in Q7LM"", ""Booking reference Q7LM"", ""The traveler booked all flights under one reservation code ending in Q7LM.""]"
travel_01,rag,2,10,Through which company did the traveler purchase travel insurance?,F6,I don't know,"[""Allianz Global Assistance"", ""The policy was through Allianz Global Assistance"", ""The traveler purchased travel insurance through Allianz Global Assistance.""]"
travel_01,rag,2,15,On what date did the traveler originally plan to attend a conference in Rome?,F7,I don't know,"[""September 18"", ""The conference in Rome was on September 18"", ""The traveler originally planned to attend a conference in Rome on September 18.""]"
travel_01,rag,2,20,Through which city is the traveler considering rerouting if seats open up?,F8,Amsterdam,"[""Amsterdam"", ""Rerouting through Amsterdam"", ""The traveler is considering rerouting through Amsterdam if seats open up.""]"
travel_01,rag,2,25,Which airline operated the Paris-Rome leg?,F2,Air France operated the Paris-Rome leg.,"[""Air France"", ""The Paris-Rome leg was operated by Air France"", ""The itinerary was New York to Paris to Rome with the Paris-Rome leg operated by Air France.""]"
travel_01,rag,3,5,What is the reservation code ending in Q7LM?,F1,I don't know,"[""Reservation code ending in Q7LM"", ""Booking reference Q7LM"", ""The traveler booked all flights under one reservation code ending in Q7LM.""]"
travel_01,rag,3,10,Through which company did the traveler purchase travel insurance?,F6,I don't know,"[""Allianz Global Assistance"", ""The policy was through Allianz Global Assistance"", ""The traveler purchased travel insurance through Allianz Global Assistance.""]"
travel_01,rag,3,15,On what date did the traveler originally plan to attend a conference in Rome?,F7,I don't know,"[""September 18"", ""The conference in Rome was on September 18"", ""The traveler originally planned to attend a conference in Rome on September 18.""]"
travel_01,rag,3,20,Through which city is the traveler considering rerouting if seats open up?,F8,Amsterdam,"[""Amsterdam"", ""Rerouting through Amsterdam"", ""The traveler is considering rerouting through Amsterdam if seats open up.""]"
travel_01,rag,3,25,Which airline operated the Paris-Rome leg?,F2,I don't know,"[""Air France"", ""The Paris-Rome leg was operated by Air France"", ""The itinerary was New York to Paris to Rome with the Paris-Rome leg operated by Air France.""]"
travel_01,rag,4,5,What is the reservation code ending in Q7LM?,F1,I don't know,"[""Reservation code ending in Q7LM"", ""Booking reference Q7LM"", ""The traveler booked all flights under one reservation code ending in Q7LM.""]"
travel_01,rag,4,10,Through which company did the traveler purchase travel insurance?,F6,I don't know,"[""Allianz Global Assistance"", ""The policy was through Allianz Global Assistance"", ""The traveler purchased travel insurance through Allianz Global Assistance.""]"
travel_01,rag,4,15,On what date did the traveler originally plan to attend a conference in Rome?,F7,I don't know,"[""September 18"", ""The conference in Rome was on September 18"", ""The traveler originally planned to attend a conference in Rome on September 18.""]"
travel_01,rag,4,20,Through which city is the traveler considering rerouting if seats open up?,F8,Amsterdam,"[""Amsterdam"", ""Rerouting through Amsterdam"", ""The traveler is considering rerouting through Amsterdam if seats open up.""]"
travel_01,rag,4,25,Which airline operated the Paris-Rome leg?,F2,Air France operated the Paris-Rome leg.,"[""Air France"", ""The Paris-Rome leg was operated by Air France"", ""The itinerary was New York to Paris to Rome with the Paris-Rome leg operated by Air France.""]"
travel_02,baseline,0,5,Through which carrier did the traveler book the flights?,F1,I don't know,"[""Lufthansa"", ""The flights were booked through Lufthansa"", ""The traveler booked the flights through Lufthansa using a multi-city reservation.""]"
travel_02,baseline,0,10,Where did the traveler store all boarding passes?,F6,The traveler did not store paper boarding passes but saved screenshots of the cancellation notice.,"[""Dropbox"", ""A Dropbox folder shared with a spouse"", ""The traveler stored all boarding passes in a Dropbox folder shared with a spouse.""]"
travel_02,baseline,0,15,By how many days earlier may the traveler fly back?,F7,Almost a full day earlier.,"[""Two days earlier"", ""Fly back two days earlier than planned"", ""The traveler may shorten the trip and fly back two days earlier than planned.""]"
travel_02,baseline,0,20,In which currency does the traveler only want compensation estimates expressed?,F3,The traveler only wants compensation estimates expressed in one currency but the currency type is not specified.,"[""Euros"", ""Compensation estimates expressed in euros"", ""The traveler only wants compensation estimates expressed in euros.""]"
travel_02,baseline,0,25,Which segment of the affected routing was canceled?,F2,The exact canceled long-haul segment was not specified in the conversation history.,"[""Frankfurt"", ""The canceled segment was Frankfurt to Chicago"", ""The affected routing was Lisbon to Frankfurt to Chicago, with the Frankfurt-Chicago segment canceled.""]"
travel_02,baseline,1,5,Through which carrier did the traveler book the flights?,F1,I don't know,"[""Lufthansa"", ""The flights were booked through Lufthansa"", ""The traveler booked the flights through Lufthansa using a multi-city reservation.""]"
travel_02,baseline,1,10,Where did the traveler store all boarding passes?,F6,The traveler did not store paper boarding passes; only screenshots of the cancellation notice were saved.,"[""Dropbox"", ""A Dropbox folder shared with a spouse"", ""The traveler stored all boarding passes in a Dropbox folder shared with a spouse.""]"
travel_02,baseline,1,15,By how many days earlier may the traveler fly back?,F7,Almost a full day earlier.,"[""Two days earlier"", ""Fly back two days earlier than planned"", ""The traveler may shorten the trip and fly back two days earlier than planned.""]"
travel_02,baseline,1,20,In which currency does the traveler only want compensation estimates expressed?,F3,"The traveler only wants compensation estimates expressed in one currency, but the specific currency is not mentioned.","[""Euros"", ""Compensation estimates expressed in euros"", ""The traveler only wants compensation estimates expressed in euros.""]"
travel_02,baseline,1,25,Which segment of the affected routing was canceled?,F2,The conversation does not specify which segment of the affected routing was canceled.,"[""Frankfurt"", ""The canceled segment was Frankfurt to Chicago"", ""The affected routing was Lisbon to Frankfurt to Chicago, with the Frankfurt-Chicago segment canceled.""]"
travel_02,baseline,2,5,Through which carrier did the traveler book the flights?,F1,I don't know,"[""Lufthansa"", ""The flights were booked through Lufthansa"", ""The traveler booked the flights through Lufthansa using a multi-city reservation.""]"
travel_02,baseline,2,10,Where did the traveler store all boarding passes?,F6,The traveler did not store paper boarding passes but saved screenshots of the cancellation notice.,"[""Dropbox"", ""A Dropbox folder shared with a spouse"", ""The traveler stored all boarding passes in a Dropbox folder shared with a spouse.""]"
travel_02,baseline,2,15,By how many days earlier may the traveler fly back?,F7,Almost a full day earlier.,"[""Two days earlier"", ""Fly back two days earlier than planned"", ""The traveler may shorten the trip and fly back two days earlier than planned.""]"
travel_02,baseline,2,20,In which currency does the traveler only want compensation estimates expressed?,F3,The traveler only wants compensation estimates expressed in euros.,"[""Euros"", ""Compensation estimates expressed in euros"", ""The traveler only wants compensation estimates expressed in euros.""]"
travel_02,baseline,2,25,Which segment of the affected routing was canceled?,F2,I don't know,"[""Frankfurt"", ""The canceled segment was Frankfurt to Chicago"", ""The affected routing was Lisbon to Frankfurt to Chicago, with the Frankfurt-Chicago segment canceled.""]"
travel_02,baseline,3,5,Through which carrier did the traveler book the flights?,F1,I don't know,"[""Lufthansa"", ""The flights were booked through Lufthansa"", ""The traveler booked the flights through Lufthansa using a multi-city reservation.""]"
travel_02,baseline,3,10,Where did the traveler store all boarding passes?,F6,"The traveler did not store paper boarding passes, only screenshots of the cancellation notice.","[""Dropbox"", ""A Dropbox folder shared with a spouse"", ""The traveler stored all boarding passes in a Dropbox folder shared with a spouse.""]"
travel_02,baseline,3,15,By how many days earlier may the traveler fly back?,F7,The traveler may fly back almost one full day earlier.,"[""Two days earlier"", ""Fly back two days earlier than planned"", ""The traveler may shorten the trip and fly back two days earlier than planned.""]"
travel_02,baseline,3,20,In which currency does the traveler only want compensation estimates expressed?,F3,The traveler only wants compensation estimates expressed in euros.,"[""Euros"", ""Compensation estimates expressed in euros"", ""The traveler only wants compensation estimates expressed in euros.""]"
travel_02,baseline,3,25,Which segment of the affected routing was canceled?,F2,The canceled segment was an intra-Europe connection before the rebooking through Zurich.,"[""Frankfurt"", ""The canceled segment was Frankfurt to Chicago"", ""The affected routing was Lisbon to Frankfurt to Chicago, with the Frankfurt-Chicago segment canceled.""]"
travel_02,baseline,4,5,Through which carrier did the traveler book the flights?,F1,I don't know,"[""Lufthansa"", ""The flights were booked through Lufthansa"", ""The traveler booked the flights through Lufthansa using a multi-city reservation.""]"
travel_02,baseline,4,10,Where did the traveler store all boarding passes?,F6,The traveler did not store paper boarding passes; they saved screenshots of the cancellation notice instead.,"[""Dropbox"", ""A Dropbox folder shared with a spouse"", ""The traveler stored all boarding passes in a Dropbox folder shared with a spouse.""]"
travel_02,baseline,4,15,By how many days earlier may the traveler fly back?,F7,"Almost one full day earlier, since the rebooking through Zurich delays arrival by nearly a full day.","[""Two days earlier"", ""Fly back two days earlier than planned"", ""The traveler may shorten the trip and fly back two days earlier than planned.""]"
travel_02,baseline,4,20,In which currency does the traveler only want compensation estimates expressed?,F3,"The traveler only wants compensation estimates expressed in one currency, not dollars.","[""Euros"", ""Compensation estimates expressed in euros"", ""The traveler only wants compensation estimates expressed in euros.""]"
travel_02,baseline,4,25,Which segment of the affected routing was canceled?,F2,The exact canceled long-haul segment was not specified in the conversation history.,"[""Frankfurt"", ""The canceled segment was Frankfurt to Chicago"", ""The affected routing was Lisbon to Frankfurt to Chicago, with the Frankfurt-Chicago segment canceled.""]"
travel_02,rolling_summary,0,5,Through which carrier did the traveler book the flights?,F1,I don't know,"[""Lufthansa"", ""The flights were booked through Lufthansa"", ""The traveler booked the flights through Lufthansa using a multi-city reservation.""]"
travel_02,rolling_summary,0,10,Where did the traveler store all boarding passes?,F6,The traveler did not keep paper boarding passes but saved screenshots of the cancellation notice.,"[""Dropbox"", ""A Dropbox folder shared with a spouse"", ""The traveler stored all boarding passes in a Dropbox folder shared with a spouse.""]"
travel_02,rolling_summary,0,15,By how many days earlier may the traveler fly back?,F7,The traveler may fly back up to almost one full day earlier.,"[""Two days earlier"", ""Fly back two days earlier than planned"", ""The traveler may shorten the trip and fly back two days earlier than planned.""]"
